Country,Week,Alpha,Beta,Delta,Omicron BA.1,Omicron BA.2,Other_variants,Total
BRA,202009,0,0,0,0,0,7,7
BRA,202010,0,0,0,0,0,16,16
BRA,202011,0,0,0,0,0,38,38
BRA,202012,0,0,0,0,0,128,128
BRA,202013,0,0,0,0,0,108,108
BRA,202014,0,0,0,0,0,131,131
BRA,202015,0,0,0,0,0,168,168
BRA,202016,0,0,0,0,0,248,248
BRA,202017,0,0,0,0,0,247,247
BRA,202018,0,0,0,0,0,156,156
BRA,202019,0,0,0,0,0,97,97
BRA,202020,0,0,0,0,0,82,82
BRA,202021,0,0,0,0,0,66,66
BRA,202022,0,0,0,0,0,68,68
BRA,202023,0,0,0,0,0,106,106
BRA,202024,0,0,0,0,0,64,64
BRA,202025,0,0,0,0,0,84,84
BRA,202026,0,0,0,0,0,97,97
BRA,202027,0,0,0,0,0,169,169
BRA,202028,0,0,0,0,0,79,79
BRA,202029,0,0,0,0,0,62,62
BRA,202030,0,0,0,0,0,78,78
BRA,202031,0,0,0,0,0,122,122
BRA,202032,0,0,0,0,0,98,98
BRA,202033,0,0,0,0,0,124,124
BRA,202034,0,0,0,0,0,89,89
BRA,202035,0,0,0,0,0,71,71
BRA,202036,0,0,0,0,0,130,130
BRA,202037,0,0,0,0,0,105,105
BRA,202038,0,0,0,0,0,106,106
BRA,202039,0,0,0,0,0,88,88
BRA,202040,0,0,0,0,0,99,99
BRA,202041,0,0,0,0,0,93,93
BRA,202042,0,0,0,0,0,94,94
BRA,202043,0,0,0,0,0,78,78
BRA,202044,0,0,0,0,0,98,98
BRA,202045,0,0,0,0,0,107,107
BRA,202046,0,0,0,0,0,98,98
BRA,202047,0,0,0,0,0,156,156
BRA,202048,0,0,0,0,0,240,240
BRA,202049,0,0,0,0,0,145,145
BRA,202050,0,0,0,0,0,147,147
BRA,202051,0,0,0,0,0,131,131
BRA,202052,4,0,0,0,0,137,141
BRA,202053,2,0,0,0,0,254,256
BRA,202101,6,0,0,1,0,359,366
BRA,202102,4,0,0,0,0,365,369
BRA,202103,12,0,0,0,0,384,396
BRA,202104,6,0,4,0,0,376,386
BRA,202105,5,0,1,0,0,534,540
BRA,202106,13,0,0,0,0,598,611
BRA,202107,15,0,0,0,0,458,473
BRA,202108,11,0,0,0,0,712,723
BRA,202109,13,0,0,0,0,606,619
BRA,202110,15,2,0,0,0,652,669
BRA,202111,8,0,0,0,0,525,533
BRA,202112,20,0,1,0,0,632,653
BRA,202113,15,0,0,0,0,448,463
BRA,202114,19,1,0,0,0,716,736
BRA,202115,17,0,4,0,0,706,727
BRA,202116,21,0,0,0,0,741,762
BRA,202117,11,0,6,0,0,898,915
BRA,202118,13,0,0,0,0,1078,1091
BRA,202119,17,0,0,0,0,1051,1068
BRA,202120,23,0,11,0,0,1207,1241
BRA,202121,14,0,2,0,0,1047,1063
BRA,202122,9,0,3,0,0,1417,1429
BRA,202123,16,0,6,0,0,1763,1785
BRA,202124,13,0,12,0,0,1146,1171
BRA,202125,11,0,30,0,0,919,960
BRA,202126,7,0,107,0,0,1471,1585
BRA,202127,1,0,169,0,0,1202,1372
BRA,202128,4,0,250,0,0,1246,1500
BRA,202129,4,0,292,0,0,938,1234
BRA,202130,3,0,538,0,0,731,1272
BRA,202131,1,0,862,0,0,1089,1952
BRA,202132,3,1,1451,0,0,875,2330
BRA,202133,0,0,1087,0,0,458,1545
BRA,202134,3,0,1586,0,0,456,2045
BRA,202135,1,0,2636,0,0,354,2991
BRA,202136,0,0,2720,0,0,224,2944
BRA,202137,0,0,2185,0,0,258,2443
BRA,202138,0,0,1411,0,0,111,1522
BRA,202139,0,0,1317,0,0,93,1410
BRA,202140,0,0,1947,0,0,70,2017
BRA,202141,0,0,1825,0,0,29,1854
BRA,202142,0,0,1065,0,0,24,1089
BRA,202143,0,0,886,0,0,15,901
BRA,202144,0,0,1545,0,0,11,1556
BRA,202145,0,0,1459,0,0,11,1470
BRA,202146,0,0,948,0,0,7,955
BRA,202147,0,0,888,3,0,2,893
BRA,202148,0,0,646,5,0,1,652
BRA,202149,0,0,440,33,0,15,488
BRA,202150,0,0,490,164,0,21,675
BRA,202151,0,0,498,378,0,70,946
BRA,202152,0,0,223,1471,1,190,1885
BRA,202201,0,0,130,3303,1,439,3873
BRA,202202,0,0,40,2360,0,358,2758
BRA,202203,0,0,5,898,2,140,1045
BRA,202204,0,0,1,647,5,73,726
BRA,202205,0,0,3,585,1,100,689
BRA,202206,0,0,0,127,0,25,152
