Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
NPL,202003,30 – 40,0,0,0,0,1,1
NPL,202031,40 – 50,0,0,0,0,1,1
NPL,202031,60 – 70,0,0,0,0,1,1
NPL,202032,10 – 20,0,0,0,0,3,3
NPL,202032,20 – 30,0,0,0,0,2,2
NPL,202032,30 – 40,0,0,0,0,1,1
NPL,202033,20 – 30,0,0,0,0,1,1
NPL,202033,30 – 40,0,0,0,0,2,2
NPL,202033,40 – 50,0,0,0,0,1,1
NPL,202033,70 – 80,0,0,0,0,1,1
NPL,202033,>= 80,0,0,0,0,1,1
NPL,202035,20 – 30,0,0,0,0,1,1
NPL,202041,20 – 30,0,0,0,0,1,1
NPL,202115,20 – 30,0,0,1,0,0,1
NPL,202115,30 – 40,0,0,1,0,0,1
NPL,202115,40 – 50,1,0,0,0,0,1
NPL,202115,70 – 80,0,0,1,0,0,1
NPL,202116,30 – 40,0,0,1,0,0,1
NPL,202116,50 – 60,0,0,1,0,0,1
NPL,202116,70 – 80,0,0,1,0,0,1
NPL,202117,20 – 30,0,0,4,0,1,5
NPL,202117,30 – 40,0,0,0,0,1,1
NPL,202117,40 – 50,0,0,1,0,1,2
NPL,202117,50 – 60,0,0,0,0,2,2
NPL,202117,>= 80,0,0,1,0,0,1
NPL,202118,20 – 30,0,0,2,0,0,2
NPL,202118,30 – 40,0,0,6,0,0,6
NPL,202118,40 – 50,0,0,2,0,0,2
NPL,202118,50 – 60,0,0,2,0,0,2
NPL,202118,60 – 70,0,0,1,0,0,1
NPL,202118,>= 80,0,0,0,0,1,1
NPL,202119,10 – 20,0,0,2,0,0,2
NPL,202119,20 – 30,0,0,2,0,0,2
NPL,202119,30 – 40,0,0,8,0,1,9
NPL,202119,40 – 50,0,0,4,0,0,4
NPL,202119,5 – 10,0,0,1,0,0,1
NPL,202119,50 – 60,0,0,1,0,0,1
NPL,202119,60 – 70,0,0,1,0,0,1
NPL,202120,10 – 20,0,0,1,0,0,1
NPL,202120,20 – 30,0,0,8,0,0,8
NPL,202120,30 – 40,0,0,9,0,0,9
NPL,202120,40 – 50,0,0,14,0,0,14
NPL,202120,5 – 10,0,0,5,0,0,5
NPL,202120,50 – 60,0,0,12,0,0,12
NPL,202120,60 – 70,0,0,3,0,0,3
NPL,202120,70 – 80,0,0,1,0,0,1
NPL,202121,10 – 20,0,0,3,0,0,3
NPL,202121,20 – 30,0,0,4,0,0,4
NPL,202121,30 – 40,0,0,5,0,0,5
NPL,202121,40 – 50,0,0,2,0,0,2
NPL,202121,50 – 60,0,0,1,0,0,1
NPL,202121,70 – 80,0,0,1,0,0,1
NPL,202122,1 – 5,0,0,1,0,0,1
NPL,202122,10 – 20,0,0,4,0,0,4
NPL,202122,20 – 30,0,0,12,0,0,12
NPL,202122,30 – 40,0,0,8,0,0,8
NPL,202122,40 – 50,0,0,11,0,1,12
NPL,202122,5 – 10,0,0,1,0,0,1
NPL,202122,50 – 60,0,0,3,0,0,3
NPL,202122,60 – 70,0,0,4,0,1,5
NPL,202122,70 – 80,0,0,2,0,0,2
NPL,202122,>= 80,1,0,3,0,0,4
NPL,202123,10 – 20,0,0,3,0,0,3
NPL,202123,20 – 30,0,0,3,0,1,4
NPL,202123,30 – 40,0,0,2,0,0,2
NPL,202123,40 – 50,0,0,6,0,0,6
NPL,202123,50 – 60,0,0,2,0,0,2
NPL,202123,60 – 70,0,0,2,0,0,2
NPL,202123,>= 80,0,0,1,0,0,1
NPL,202124,1 – 5,0,0,2,0,0,2
