Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
GRC,202009,0,0,0,0,1,1
GRC,202010,0,0,0,0,1,1
GRC,202011,0,0,0,0,2,2
GRC,202013,0,0,0,0,3,3
GRC,202014,0,0,0,0,7,7
GRC,202015,0,0,0,0,3,3
GRC,202016,0,0,0,0,2,2
GRC,202017,0,0,0,0,5,5
GRC,202018,0,0,0,0,1,1
GRC,202019,0,0,0,0,2,2
GRC,202020,0,0,0,0,4,4
GRC,202053,3,0,0,0,3,6
GRC,202103,0,0,0,0,1,1
GRC,202110,4,0,0,0,1,5
GRC,202111,91,0,0,0,4,95
GRC,202112,12,0,0,0,4,16
GRC,202113,31,0,0,0,7,38
GRC,202114,17,0,0,0,3,20
GRC,202115,2,0,0,0,0,2
GRC,202116,2,0,0,0,0,2
GRC,202117,2,0,0,0,0,2
GRC,202118,86,0,0,0,2,88
GRC,202119,106,0,0,0,1,107
GRC,202120,88,1,0,0,40,129
GRC,202121,19,0,0,0,32,51
GRC,202122,0,0,0,0,63,63
GRC,202123,35,2,1,0,56,94
GRC,202124,37,0,6,0,39,82
GRC,202125,2,0,0,0,1,3
GRC,202126,3,2,8,0,3,16
GRC,202127,18,5,46,0,3,72
GRC,202128,2,2,24,0,0,28
GRC,202129,8,0,40,0,4,52
GRC,202130,20,2,220,0,4,246
GRC,202131,0,0,2,0,1,3
GRC,202135,0,0,2,0,0,2
GRC,202136,0,0,45,0,0,45
GRC,202143,0,0,3,0,0,3
GRC,202144,0,0,1,0,0,1
