Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
KEN,202011,0,0,0,0,1,1
KEN,202012,0,0,0,0,4,4
KEN,202013,0,0,0,0,8,8
KEN,202014,0,0,0,0,15,15
KEN,202015,0,0,0,0,16,16
KEN,202016,0,0,0,0,29,29
KEN,202017,0,0,0,0,37,37
KEN,202018,0,0,0,0,23,23
KEN,202019,0,0,0,0,34,34
KEN,202020,0,0,0,0,87,87
KEN,202021,0,0,0,0,34,34
KEN,202022,0,0,0,0,6,6
KEN,202023,0,0,0,0,21,21
KEN,202024,0,0,0,0,37,37
KEN,202025,0,0,0,0,14,14
KEN,202026,0,0,0,0,30,30
KEN,202027,0,0,0,0,34,34
KEN,202028,0,0,0,0,26,26
KEN,202029,0,0,0,0,31,31
KEN,202030,0,0,0,0,18,18
KEN,202031,0,0,0,0,18,18
KEN,202032,0,0,0,0,29,29
KEN,202033,0,0,0,0,27,27
KEN,202034,0,0,0,0,20,20
KEN,202035,0,0,0,0,26,26
KEN,202036,0,0,0,0,28,28
KEN,202037,0,0,0,0,22,22
KEN,202038,0,0,0,0,10,10
KEN,202039,0,0,0,0,3,3
KEN,202040,0,0,0,0,31,31
KEN,202041,0,0,0,0,24,24
KEN,202042,0,0,0,0,37,37
KEN,202043,0,0,0,0,118,118
KEN,202044,0,0,0,0,138,138
KEN,202045,0,0,0,0,196,196
KEN,202046,0,0,0,0,126,126
KEN,202047,0,0,0,0,108,108
KEN,202048,0,0,0,0,88,88
KEN,202049,0,0,0,0,56,56
KEN,202050,0,0,0,0,47,47
KEN,202051,0,2,0,0,20,22
KEN,202052,1,1,0,0,8,10
KEN,202053,0,0,0,0,10,10
KEN,202101,1,0,4,0,36,41
KEN,202102,3,0,0,0,14,17
KEN,202103,6,2,1,0,18,27
KEN,202104,9,3,0,0,40,52
KEN,202105,19,6,0,0,13,38
KEN,202106,5,2,0,0,13,20
KEN,202107,14,1,0,0,3,18
KEN,202108,56,23,0,0,26,105
KEN,202109,91,7,0,0,29,127
KEN,202110,56,22,0,0,28,106
KEN,202111,115,23,1,0,23,162
KEN,202112,64,16,0,0,12,92
KEN,202113,61,19,0,0,3,83
KEN,202114,31,9,9,0,5,54
KEN,202115,57,9,2,0,1,69
KEN,202116,36,10,3,0,4,53
KEN,202117,28,20,11,0,15,74
KEN,202118,38,11,8,0,2,59
KEN,202119,35,8,4,0,2,49
KEN,202120,44,7,31,0,5,87
KEN,202121,33,3,41,0,1,78
KEN,202122,27,2,43,0,0,72
KEN,202123,20,1,28,0,0,49
KEN,202124,11,1,51,0,0,63
KEN,202125,6,0,74,0,5,85
KEN,202126,4,3,124,0,2,133
KEN,202127,9,0,124,0,4,137
KEN,202128,0,0,103,0,8,111
KEN,202129,1,0,70,0,4,75
KEN,202130,4,1,154,0,4,163
KEN,202131,0,0,83,0,4,87
KEN,202132,1,0,105,0,1,107
KEN,202133,0,0,63,0,0,63
KEN,202134,0,0,70,0,2,72
KEN,202135,0,0,113,0,1,114
KEN,202136,0,0,57,0,0,57
KEN,202137,0,0,96,0,0,96
KEN,202138,1,0,58,0,0,59
KEN,202139,0,0,29,0,2,31
KEN,202140,2,0,47,0,3,52
KEN,202141,0,0,13,0,1,14
KEN,202142,0,0,12,0,0,12
KEN,202143,0,0,20,0,0,20
KEN,202144,0,0,18,0,0,18
KEN,202145,0,0,31,0,1,32
KEN,202146,0,0,13,0,0,13
KEN,202147,1,0,1,5,0,7
KEN,202148,0,0,14,24,0,38
KEN,202149,0,0,28,20,2,50
KEN,202150,0,0,17,53,1,71
KEN,202151,0,0,0,52,0,52
KEN,202152,0,0,1,0,0,1
