Country,Week,Alpha,Beta,Delta,Omicron,Other_variants,Total
MWI,202048,1,1,0,0,0,2
MWI,202052,0,11,0,0,0,11
MWI,202053,0,2,0,0,1,3
MWI,202101,0,5,0,0,0,5
MWI,202102,0,31,0,0,0,31
MWI,202103,0,86,0,0,3,89
MWI,202104,0,66,0,0,7,73
MWI,202105,0,6,0,0,0,6
MWI,202107,0,13,0,0,1,14
MWI,202108,0,23,0,0,0,23
MWI,202109,0,19,0,0,0,19
MWI,202110,1,14,0,0,0,15
MWI,202111,2,3,3,0,0,8
MWI,202113,0,1,0,0,0,1
MWI,202114,0,22,0,0,0,22
MWI,202115,0,12,2,0,0,14
MWI,202116,0,2,2,0,0,4
MWI,202117,0,1,13,0,16,30
MWI,202118,0,1,1,0,0,2
MWI,202119,0,1,0,0,0,1
MWI,202120,0,1,1,0,0,2
MWI,202121,1,0,14,0,1,16
MWI,202122,0,0,31,0,0,31
MWI,202123,0,3,8,0,1,12
MWI,202124,0,0,25,0,0,25
MWI,202125,0,1,18,0,0,19
MWI,202126,0,0,3,0,0,3
MWI,202127,0,0,4,0,0,4
MWI,202128,0,0,5,0,0,5
MWI,202129,0,0,8,0,0,8
MWI,202130,0,0,16,0,0,16
MWI,202135,0,0,6,0,0,6
MWI,202136,0,0,11,0,3,14
MWI,202137,0,0,8,0,0,8
MWI,202138,0,0,2,0,0,2
MWI,202148,0,0,0,5,0,5
MWI,202149,0,0,0,4,0,4
