Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
MWI,202048,20 – 30,0,1,0,0,0,1
MWI,202048,30 – 40,1,0,0,0,0,1
MWI,202052,20 – 30,0,1,0,0,0,1
MWI,202052,30 – 40,0,4,0,0,0,4
MWI,202052,40 – 50,0,2,0,0,0,2
MWI,202052,50 – 60,0,1,0,0,0,1
MWI,202052,60 – 70,0,2,0,0,0,2
MWI,202052,>= 80,0,1,0,0,0,1
MWI,202053,20 – 30,0,1,0,0,1,2
MWI,202053,50 – 60,0,1,0,0,0,1
MWI,202101,20 – 30,0,1,0,0,0,1
MWI,202101,30 – 40,0,2,0,0,0,2
MWI,202101,50 – 60,0,2,0,0,0,2
MWI,202102,1 – 5,0,1,0,0,0,1
MWI,202102,10 – 20,0,1,0,0,0,1
MWI,202102,20 – 30,0,9,0,0,0,9
MWI,202102,30 – 40,0,7,0,0,0,7
MWI,202102,40 – 50,0,8,0,0,0,8
MWI,202102,50 – 60,0,4,0,0,0,4
MWI,202102,70 – 80,0,1,0,0,0,1
MWI,202103,10 – 20,0,4,0,0,2,6
MWI,202103,20 – 30,0,30,0,0,1,31
MWI,202103,30 – 40,0,17,0,0,0,17
MWI,202103,40 – 50,0,21,0,0,0,21
MWI,202103,50 – 60,0,9,0,0,0,9
MWI,202103,60 – 70,0,1,0,0,0,1
MWI,202103,70 – 80,0,3,0,0,0,3
MWI,202103,>= 80,0,1,0,0,0,1
MWI,202104,1 – 5,0,2,0,0,0,2
MWI,202104,10 – 20,0,5,0,0,1,6
MWI,202104,20 – 30,0,16,0,0,1,17
MWI,202104,30 – 40,0,10,0,0,2,12
MWI,202104,40 – 50,0,14,0,0,1,15
MWI,202104,5 – 10,0,1,0,0,0,1
MWI,202104,50 – 60,0,11,0,0,1,12
MWI,202104,60 – 70,0,4,0,0,1,5
MWI,202104,70 – 80,0,3,0,0,0,3
MWI,202105,20 – 30,0,3,0,0,0,3
MWI,202105,30 – 40,0,2,0,0,0,2
MWI,202105,50 – 60,0,1,0,0,0,1
