Country,Week,Age_group,Alpha,Beta,Delta,Omicron,Other_variants,Total
QAT,202011,20 – 30,0,0,0,0,2,2
QAT,202011,30 – 40,0,0,0,0,2,2
QAT,202011,40 – 50,0,0,0,0,6,6
QAT,202011,50 – 60,0,0,0,0,5,5
QAT,202011,60 – 70,0,0,0,0,1,1
QAT,202012,10 – 20,0,0,0,0,1,1
QAT,202012,20 – 30,0,0,0,0,9,9
QAT,202012,30 – 40,0,0,0,0,11,11
QAT,202012,40 – 50,0,0,0,0,10,10
QAT,202012,50 – 60,0,0,0,0,5,5
QAT,202012,60 – 70,0,0,0,0,3,3
QAT,202012,70 – 80,0,0,0,0,1,1
QAT,202013,20 – 30,0,1,0,0,0,1
QAT,202013,40 – 50,0,0,0,0,2,2
QAT,202014,20 – 30,0,0,0,0,1,1
QAT,202014,30 – 40,0,0,0,0,2,2
QAT,202014,40 – 50,0,0,0,0,2,2
QAT,202014,70 – 80,0,0,0,0,3,3
QAT,202015,20 – 30,0,1,0,0,5,6
QAT,202015,30 – 40,0,0,0,0,9,9
QAT,202015,40 – 50,0,0,0,0,7,7
QAT,202015,50 – 60,0,0,0,0,2,2
QAT,202015,60 – 70,0,0,0,0,9,9
QAT,202015,70 – 80,0,0,0,0,1,1
QAT,202016,20 – 30,0,0,0,0,5,5
QAT,202016,30 – 40,0,0,0,0,12,12
QAT,202016,40 – 50,0,0,0,0,3,3
QAT,202016,60 – 70,0,0,0,0,8,8
QAT,202016,70 – 80,0,0,0,0,2,2
QAT,202017,10 – 20,0,0,0,0,1,1
QAT,202017,20 – 30,0,0,0,0,31,31
QAT,202017,30 – 40,0,0,0,0,38,38
QAT,202017,40 – 50,0,0,0,0,17,17
QAT,202017,5 – 10,0,0,0,0,4,4
QAT,202017,50 – 60,0,0,0,0,11,11
QAT,202017,60 – 70,0,0,0,0,4,4
QAT,202017,70 – 80,0,0,0,0,6,6
QAT,202017,>= 80,0,0,0,0,3,3
QAT,202018,10 – 20,0,0,0,0,3,3
QAT,202018,20 – 30,0,0,0,0,26,26
QAT,202018,30 – 40,0,0,0,0,38,38
QAT,202018,40 – 50,0,0,0,0,16,16
QAT,202018,5 – 10,0,0,0,0,1,1
QAT,202018,50 – 60,0,0,0,0,12,12
QAT,202018,70 – 80,0,0,0,0,1,1
QAT,202019,1 – 5,0,0,0,0,1,1
QAT,202019,20 – 30,0,0,0,0,35,35
QAT,202019,30 – 40,0,0,0,0,59,59
QAT,202019,40 – 50,0,0,0,0,20,20
QAT,202019,50 – 60,0,0,0,0,10,10
QAT,202019,60 – 70,0,0,0,0,1,1
QAT,202019,70 – 80,0,0,0,0,2,2
QAT,202020,1 – 5,0,0,0,0,1,1
QAT,202020,10 – 20,0,0,0,0,3,3
QAT,202020,20 – 30,0,0,0,0,7,7
QAT,202020,30 – 40,0,0,0,0,12,12
QAT,202020,40 – 50,0,0,0,0,2,2
QAT,202020,60 – 70,0,0,0,0,1,1
QAT,202021,1 – 5,0,0,0,0,6,6
QAT,202021,10 – 20,0,0,0,0,12,12
QAT,202021,20 – 30,0,0,0,0,26,26
QAT,202021,30 – 40,0,0,0,0,45,45
QAT,202021,40 – 50,0,0,0,0,27,27
QAT,202021,5 – 10,0,0,0,0,3,3
QAT,202021,50 – 60,0,0,0,0,16,16
QAT,202021,60 – 70,0,0,0,0,1,1
QAT,202021,70 – 80,0,0,0,0,2,2
QAT,202022,1 – 5,0,0,0,0,2,2
QAT,202022,10 – 20,0,0,0,0,4,4
QAT,202022,20 – 30,0,0,0,0,18,18
QAT,202022,30 – 40,0,0,0,0,26,26
QAT,202022,40 – 50,0,0,0,0,14,14
QAT,202022,5 – 10,0,0,0,0,2,2
QAT,202022,50 – 60,0,0,0,0,7,7
QAT,202022,60 – 70,0,0,0,0,4,4
QAT,202023,1 – 5,0,0,0,0,1,1
QAT,202023,10 – 20,0,0,0,0,5,5
QAT,202023,20 – 30,0,0,0,0,10,10
QAT,202023,30 – 40,0,0,0,0,23,23
QAT,202023,40 – 50,0,0,0,0,26,26
QAT,202023,5 – 10,0,0,0,0,1,1
QAT,202023,50 – 60,0,0,0,0,16,16
QAT,202023,60 – 70,0,0,0,0,11,11
QAT,202023,70 – 80,0,0,0,0,3,3
QAT,202023,>= 80,0,0,0,0,4,4
QAT,202024,1 – 5,0,0,0,0,1,1
QAT,202024,10 – 20,0,0,0,0,1,1
QAT,202024,20 – 30,0,0,0,0,9,9
QAT,202024,30 – 40,0,0,0,0,30,30
QAT,202024,40 – 50,0,0,0,0,16,16
QAT,202024,5 – 10,0,0,0,0,1,1
QAT,202024,50 – 60,0,0,0,0,12,12
QAT,202024,60 – 70,0,0,0,0,4,4
QAT,202024,70 – 80,0,0,0,0,5,5
QAT,202024,< 1,0,0,0,0,1,1
QAT,202024,>= 80,0,0,0,0,2,2
QAT,202025,10 – 20,0,0,0,0,1,1
QAT,202025,20 – 30,0,0,0,0,15,15
QAT,202025,30 – 40,0,0,0,0,21,21
QAT,202025,40 – 50,0,0,0,0,15,15
QAT,202025,5 – 10,0,0,0,0,1,1
QAT,202025,50 – 60,0,0,0,0,12,12
QAT,202025,60 – 70,0,0,0,0,1,1
QAT,202025,>= 80,0,0,0,0,2,2
QAT,202026,1 – 5,0,0,0,0,2,2
QAT,202026,20 – 30,0,0,0,0,9,9
QAT,202026,30 – 40,0,0,0,0,6,6
QAT,202026,40 – 50,0,0,0,0,5,5
QAT,202026,5 – 10,0,0,0,0,1,1
QAT,202026,50 – 60,0,0,0,0,3,3
QAT,202026,60 – 70,0,0,0,0,2,2
QAT,202026,70 – 80,0,0,0,0,1,1
QAT,202027,1 – 5,0,0,0,0,6,6
QAT,202027,10 – 20,0,0,0,0,4,4
QAT,202027,20 – 30,0,0,0,0,4,4
QAT,202027,30 – 40,0,0,0,0,17,17
QAT,202027,40 – 50,0,0,0,0,21,21
QAT,202027,5 – 10,0,0,0,0,4,4
QAT,202027,50 – 60,0,0,0,0,3,3
QAT,202028,1 – 5,0,0,0,0,4,4
QAT,202028,10 – 20,0,0,0,0,4,4
QAT,202028,20 – 30,0,0,0,0,12,12
QAT,202028,30 – 40,0,0,0,0,21,21
QAT,202028,40 – 50,0,0,0,0,14,14
QAT,202028,5 – 10,0,0,0,0,2,2
QAT,202028,50 – 60,0,0,0,0,3,3
QAT,202028,60 – 70,0,0,0,0,1,1
